scenario,context_level,method,step,time,robot_x,robot_y,robot_vx,robot_vy,robot_theta,human_x,human_y,human_vx,human_vy,human_type,motion_state,attention_state,ttc,head_on_factor,crowding_factor,distance,clearance,beta_candidate,beta_final,beta_requested,beta_applied,beta_dynamic,beta_cbf,delta_beta,h_standard,h_ee,h_see,h_cbf,slack,controller_type,horizon_steps,predicted_min_h,solver_success,solver_backend,solver_status,solver_iterations,solve_time_ms,active_constraints,min_cbf_value,guard_status,guard_active,u_ref_x,u_ref_y,cmd_vx,cmd_vy,cmd_v,cmd_omega,speed,command_step,path_length,goal_error
crossing,context_ext,Standard MPC-CBF,0,0.000,-2.000000,-0.250000,0.000000,0.000000,0.000000,0.100000,-1.800000,0.000000,0.580000,pedestrian,walking,unknown,5.835878,1.000000,0.625000,2.610077,2.010077,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.010077,2.010077,2.010077,2.010077,0.000000,horizon_mpc_secbf,4,1.645633,true,osqp,optimal,50,2.283614,0,1.165988,geometric,false,0.750000,0.000000,0.621017,-0.000000,,,0.621017,0.621017,0.062102,4.000000
crossing,context_ext,Standard MPC-CBF,1,0.100,-1.937898,-0.250000,0.621017,-0.000000,-0.000000,0.100000,-1.742000,0.000000,0.580000,pedestrian,walking,unknown,2.282423,1.000000,0.625000,2.525687,1.925687,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.925687,1.925687,1.925687,1.925687,0.000000,horizon_mpc_secbf,4,1.552038,true,osqp,optimal,50,1.997958,0,0.997194,geometric,false,0.750000,0.000000,0.726101,-0.000000,,,0.726101,0.105085,0.134712,3.937898
crossing,context_ext,Standard MPC-CBF,2,0.200,-1.865288,-0.250000,0.726101,-0.000000,-0.000000,0.100000,-1.684000,0.000000,0.580000,pedestrian,walking,unknown,1.974132,1.000000,0.625000,2.432841,1.832841,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.832841,1.832841,1.832841,1.832841,0.000000,horizon_mpc_secbf,4,1.458451,true,osqp,optimal,50,2.054650,0,0.896747,geometric,false,0.750000,0.000000,0.735591,-0.000000,,,0.735591,0.009489,0.208271,3.865288
crossing,context_ext,Standard MPC-CBF,3,0.300,-1.791729,-0.250000,0.735591,-0.000000,-0.000000,0.100000,-1.626000,0.000000,0.580000,pedestrian,walking,unknown,1.858075,1.000000,0.625000,2.339234,1.739234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.739234,1.739234,1.739234,1.739234,0.000000,horizon_mpc_secbf,4,1.364872,true,osqp,optimal,50,2.031632,0,0.803192,geometric,false,0.750000,0.000000,0.735592,-0.000000,,,0.735592,0.000001,0.281830,3.791729
crossing,context_ext,Standard MPC-CBF,4,0.400,-1.718170,-0.250000,0.735592,-0.000000,-0.000000,0.100000,-1.568000,0.000000,0.580000,pedestrian,walking,unknown,1.758189,1.000000,0.625000,2.245633,1.645633,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.645633,1.645633,1.645633,1.645633,0.000000,horizon_mpc_secbf,4,1.271302,true,osqp,optimal,50,2.154142,0,0.709651,geometric,false,0.750000,0.000000,0.735592,-0.000000,,,0.735592,0.000000,0.355389,3.718170
crossing,context_ext,Standard MPC-CBF,5,0.500,-1.644611,-0.250000,0.735592,-0.000000,-0.000000,0.100000,-1.510000,0.000000,0.580000,pedestrian,walking,unknown,1.658313,1.000000,0.625000,2.152038,1.552038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.552038,1.552038,1.552038,1.552038,0.000000,horizon_mpc_secbf,4,1.178176,true,osqp,optimal,50,2.671317,0,0.616142,geometric,false,0.750000,0.000000,0.735592,0.000030,,,0.735592,0.000030,0.428948,3.644611
crossing,context_ext,Standard MPC-CBF,6,0.600,-1.571052,-0.249997,0.735592,0.000030,0.000041,0.100000,-1.452000,0.000000,0.580000,pedestrian,walking,unknown,1.558478,1.000000,0.625000,2.058452,1.458452,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.458452,1.458452,1.458452,1.458452,0.000000,horizon_mpc_secbf,4,1.086537,true,osqp,optimal,50,2.239365,0,0.522783,geometric,false,0.750000,-0.000001,0.735592,0.000286,,,0.735592,0.000255,0.502508,3.571052
crossing,context_ext,Standard MPC-CBF,7,0.700,-1.497492,-0.249968,0.735592,0.000286,0.000389,0.100000,-1.394000,0.000000,0.580000,pedestrian,walking,unknown,1.458868,1.000000,0.625000,1.964889,1.364889,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.364889,1.364889,1.364889,1.364889,0.000000,horizon_mpc_secbf,4,0.996371,true,osqp,optimal,50,2.139775,0,0.430167,geometric,false,0.750000,-0.000007,0.735592,0.001761,,,0.735594,0.001475,0.576067,3.497492
crossing,context_ext,Standard MPC-CBF,8,0.800,-1.423933,-0.249792,0.735592,0.001761,0.002394,0.100000,-1.336000,0.000000,0.580000,pedestrian,walking,unknown,1.360353,1.000000,0.625000,1.871422,1.271422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.271422,1.271422,1.271422,1.271422,0.000000,horizon_mpc_secbf,4,0.907658,true,osqp,optimal,50,2.087613,0,0.341640,geometric,false,0.750000,-0.000045,0.735592,0.010108,,,0.735661,0.008347,0.649633,3.423933
crossing,context_ext,Standard MPC-CBF,9,0.900,-1.350374,-0.248782,0.735592,0.010108,0.013740,0.100000,-1.278000,0.000000,0.580000,pedestrian,walking,unknown,1.267553,1.000000,0.625000,1.778448,1.178448,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.178448,1.178448,1.178448,1.178448,0.000000,horizon_mpc_secbf,4,0.820344,true,osqp,optimal,50,2.090368,0,0.261820,geometric,false,0.750000,-0.000273,0.735592,0.032701,,,0.736318,0.022593,0.723265,3.350374
