scenario,context_level,method,step,time,robot_x,robot_y,robot_vx,robot_vy,robot_theta,human_x,human_y,human_vx,human_vy,human_type,motion_state,attention_state,ttc,head_on_factor,crowding_factor,distance,clearance,beta_candidate,beta_final,beta_requested,beta_applied,beta_dynamic,beta_cbf,delta_beta,h_standard,h_ee,h_see,h_cbf,slack,controller_type,horizon_steps,predicted_min_h,solver_success,solver_backend,solver_status,solver_iterations,solve_time_ms,active_constraints,min_cbf_value,guard_status,guard_active,u_ref_x,u_ref_y,cmd_vx,cmd_vy,cmd_v,cmd_omega,speed,command_step,path_length,goal_error
crossing,context_int,Standard MPC-CBF,0,0.000,-2.000000,-0.250000,0.000000,0.000000,0.000000,0.100000,-1.800000,0.000000,0.580000,pedestrian,walking,unknown,5.835878,1.000000,0.000000,2.610077,2.010077,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.010077,2.010077,2.010077,2.010077,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.261037,0,1.073803,geometric,false,0.750000,0.000000,0.735593,-0.000000,,,0.735593,0.735593,0.073559,4.000000
crossing,context_int,Standard MPC-CBF,1,0.100,-1.926441,-0.250000,0.735593,-0.000000,-0.000000,0.100000,-1.742000,0.000000,0.580000,pedestrian,walking,unknown,2.046971,1.000000,0.000000,2.516451,1.916451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.916451,1.916451,1.916451,1.916451,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.345047,0,0.980213,geometric,false,0.750000,0.000000,0.735593,-0.000000,,,0.735593,0.000000,0.147119,3.926441
crossing,context_int,Standard MPC-CBF,2,0.200,-1.852881,-0.250000,0.735593,-0.000000,-0.000000,0.100000,-1.684000,0.000000,0.580000,pedestrian,walking,unknown,1.947057,1.000000,0.000000,2.422829,1.822829,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.822829,1.822829,1.822829,1.822829,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.190276,0,0.886632,geometric,false,0.750000,0.000000,0.735593,-0.000000,,,0.735593,0.000000,0.220678,3.852881
crossing,context_int,Standard MPC-CBF,3,0.300,-1.779322,-0.250000,0.735593,-0.000000,-0.000000,0.100000,-1.626000,0.000000,0.580000,pedestrian,walking,unknown,1.847148,1.000000,0.000000,2.329212,1.729212,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.729212,1.729212,1.729212,1.729212,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.089068,0,0.793060,geometric,false,0.750000,0.000000,0.735593,-0.000000,,,0.735593,0.000000,0.294237,3.779322
crossing,context_int,Standard MPC-CBF,4,0.400,-1.705763,-0.250000,0.735593,-0.000000,-0.000000,0.100000,-1.568000,0.000000,0.580000,pedestrian,walking,unknown,1.747246,1.000000,0.000000,2.235599,1.635599,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.635599,1.635599,1.635599,1.635599,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.296616,0,0.699498,geometric,false,0.750000,0.000000,0.735593,-0.000000,,,0.735593,0.000000,0.367797,3.705763
crossing,context_int,Standard MPC-CBF,5,0.500,-1.632203,-0.250000,0.735593,-0.000000,-0.000000,0.100000,-1.510000,0.000000,0.580000,pedestrian,walking,unknown,1.647351,1.000000,0.000000,2.141992,1.541992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.541992,1.541992,1.541992,1.541992,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.117459,0,0.605948,geometric,false,0.750000,0.000000,0.735593,-0.000000,,,0.735593,0.000000,0.441356,3.632203
crossing,context_int,Standard MPC-CBF,6,0.600,-1.558644,-0.250000,0.735593,-0.000000,-0.000000,0.100000,-1.452000,0.000000,0.580000,pedestrian,walking,unknown,1.547463,1.000000,0.000000,2.048391,1.448391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.448391,1.448391,1.448391,1.448391,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.459543,0,0.512413,geometric,false,0.750000,0.000000,0.735593,-0.000000,,,0.735593,0.000000,0.514915,3.558644
crossing,context_int,Standard MPC-CBF,7,0.700,-1.485085,-0.250000,0.735593,-0.000000,-0.000000,0.100000,-1.394000,0.000000,0.580000,pedestrian,walking,unknown,1.447584,1.000000,0.000000,1.954797,1.354797,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.354797,1.354797,1.354797,1.354797,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.335218,0,0.418895,geometric,false,0.750000,0.000000,0.735593,-0.000000,,,0.735593,0.000000,0.588475,3.485085
crossing,context_int,Standard MPC-CBF,8,0.800,-1.411525,-0.250000,0.735593,-0.000000,-0.000000,0.100000,-1.336000,0.000000,0.580000,pedestrian,walking,unknown,1.347714,1.000000,0.000000,1.861211,1.261211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.261211,1.261211,1.261211,1.261211,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.778383,0,0.325396,geometric,false,0.750000,0.000000,0.735593,-0.000000,,,0.735593,0.000000,0.662034,3.411525
crossing,context_int,Standard MPC-CBF,9,0.900,-1.337966,-0.250000,0.735593,-0.000000,-0.000000,0.100000,-1.278000,0.000000,0.580000,pedestrian,walking,unknown,1.247855,1.000000,0.000000,1.767634,1.167634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.167634,1.167634,1.167634,1.167634,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.678292,0,0.231921,geometric,false,0.750000,0.000000,0.735593,-0.000000,,,0.735593,0.000000,0.735593,3.337966
