delta_bar_beta,step,beta_i,delta_beta,epsilon,gamma,eps_max,theory_lower_bound,h_see,bound_satisfied
0.010000,0,0.110000,0.010000,0.005000,0.350000,0.030000,-0.114286,0.115000,true
0.010000,1,0.110000,0.000000,0.010000,0.350000,0.030000,-0.114286,0.064750,true
0.010000,2,0.120000,0.010000,0.015000,0.350000,0.030000,-0.114286,0.017088,true
0.010000,3,0.120000,0.000000,0.020000,0.350000,0.030000,-0.114286,-0.008893,true
0.010000,4,0.130000,0.010000,0.025000,0.350000,0.030000,-0.114286,-0.040781,true
0.010000,5,0.130000,0.000000,0.030000,0.350000,0.030000,-0.114286,-0.056507,true
0.010000,6,0.140000,0.010000,0.030000,0.350000,0.030000,-0.114286,-0.076730,true
0.010000,7,0.140000,0.000000,0.030000,0.350000,0.030000,-0.114286,-0.079874,true
0.030000,0,0.130000,0.030000,0.005000,0.350000,0.030000,-0.171429,0.095000,true
0.030000,1,0.130000,0.000000,0.010000,0.350000,0.030000,-0.171429,0.051750,true
0.030000,2,0.160000,0.030000,0.015000,0.350000,0.030000,-0.171429,-0.011362,true
0.030000,3,0.160000,0.000000,0.020000,0.350000,0.030000,-0.171429,-0.027386,true
0.030000,4,0.190000,0.030000,0.025000,0.350000,0.030000,-0.171429,-0.072801,true
0.030000,5,0.190000,0.000000,0.030000,0.350000,0.030000,-0.171429,-0.077320,true
0.030000,6,0.220000,0.030000,0.030000,0.350000,0.030000,-0.171429,-0.110258,true
0.030000,7,0.220000,0.000000,0.030000,0.350000,0.030000,-0.171429,-0.101668,true
0.050000,0,0.150000,0.050000,0.005000,0.350000,0.030000,-0.228571,0.075000,true
0.050000,1,0.150000,0.000000,0.010000,0.350000,0.030000,-0.228571,0.038750,true
0.050000,2,0.200000,0.050000,0.015000,0.350000,0.030000,-0.228571,-0.039813,true
0.050000,3,0.200000,0.000000,0.020000,0.350000,0.030000,-0.228571,-0.045878,true
0.050000,4,0.250000,0.050000,0.025000,0.350000,0.030000,-0.228571,-0.104821,true
0.050000,5,0.250000,0.000000,0.030000,0.350000,0.030000,-0.228571,-0.098134,true
0.050000,6,0.300000,0.050000,0.030000,0.350000,0.030000,-0.228571,-0.143787,true
0.050000,7,0.300000,0.000000,0.030000,0.350000,0.030000,-0.228571,-0.123461,true
0.100000,0,0.200000,0.100000,0.005000,0.350000,0.030000,-0.371429,0.025000,true
0.100000,1,0.200000,0.000000,0.010000,0.350000,0.030000,-0.371429,0.006250,true
0.100000,2,0.300000,0.100000,0.015000,0.350000,0.030000,-0.371429,-0.110938,true
0.100000,3,0.300000,0.000000,0.020000,0.350000,0.030000,-0.371429,-0.092109,true
0.100000,4,0.400000,0.100000,0.025000,0.350000,0.030000,-0.371429,-0.184871,true
0.100000,5,0.400000,0.000000,0.030000,0.350000,0.030000,-0.371429,-0.150166,true
0.100000,6,0.500000,0.100000,0.030000,0.350000,0.030000,-0.371429,-0.227608,true
0.100000,7,0.500000,0.000000,0.030000,0.350000,0.030000,-0.371429,-0.177945,true
